재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명		당기			전기	전전기	
손익계산서, 기능별 분류 - 연결	[001040]	CJ	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	      지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분		34,889,406,000			-51,995,266,000	-162,923,355,000
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	dart_ImpairmentLossesOnAssociates	      관계기업/공동기업투자손상차손		0			0	33,394,488,724
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	      지분법손실		0			6,404,097,647	866,644
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		190,838,683,363			265,437,456,373	761,884,807,377
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		72,280,211,039			38,210,870,129	45,041,136,923
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	dart_OtherLosses	      기타손실		22,648,919,941			24,067,450,596	47,114,684,851
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	      지분법이익		24,792,060			0	10,434,240,404
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	dart_ReversalsOfImpairmentLossesOnAssociates	      관계기업/공동기업투자손상차손환입		0			0	0
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비		195,998,043,470			176,581,726,069	165,939,692,250
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		744,330,982,971			712,204,456,498	741,652,222,649
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실)		5,520			6,241	12,798
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_DilutedEarningsLossPerShare	         희석주당이익(손실)		5,520			6,241	12,798
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융원가		13,484,106,457			10,636,467,274	19,338,490,603
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		48,832,126,963			43,359,948,391	25,117,720,362
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		386,836,726,833			442,019,182,442	927,824,499,627
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		46,456,898,672			41,751,008,397	186,402,278,310
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		229,385,888,355			264,149,250,979	556,227,095,934
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분에 귀속되는 당기순이익(손실)		-87,727,032			0	0
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업의 소유주에게 귀속되는 당기순이익(손실)		229,473,615,387			264,149,250,979	556,227,095,934
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		275,842,787,027			305,900,259,376	742,629,374,244
손익계산서, 기능별 분류 - 연결	[000990]	DB하이텍	유가증권시장상장법인	261	반도체 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_Revenue	      수익(매출액)		1,131,167,709,804			1,154,223,638,940	1,669,476,722,276
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingExpense	      기타비용		101,956,716,182			242,241,709,877	157,802,068,486
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingIncome	      기타수익		392,885,217,421			303,668,927,204	266,735,773,778
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익		412,518,392,958			150,696,391,721	284,470,889,015
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		4,375,120,120,273			4,091,724,341,065	4,167,603,807,748
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주 기본 및 희석주당이익		3,998			-5,855	3,129
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본 및 희석주당이익		3,948			-5,905	3,079
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융비용		564,128,372,530			400,011,124,558	296,776,480,577
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		103,396,425,231			118,312,103,772	69,725,835,556
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		1,240,248,378,708			926,091,480,177	1,006,103,362,429
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		61,380,138,383			-51,551,723,114	23,541,417,322
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		94,839,002,886			-120,978,168,525	98,152,634,753
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분		5,472,977,934			12,467,252,584	28,443,995,433
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업소유주지분		89,366,024,952			-133,445,421,109	69,708,639,320
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		156,219,141,269			-172,529,891,639	121,694,052,075
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_Revenue	      매출액		5,615,368,498,981			5,017,815,821,242	5,173,707,170,177
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_SellingGeneralAndAdministrativeExpense	      판매비및관리비		827,729,985,750			775,395,088,456	721,632,473,414
손익계산서, 기능별 분류 - 연결	[000210]	DL	유가증권시장상장법인	201	기초 화학물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	      지분법투자손익		-86,495,805,629			-102,954,479,901	-44,659,897,211
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingExpense	      기타비용		248,196,313,963			234,561,239,113	167,508,257,246
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	dart_NonOperatingIncome	      기타수익		203,121,227,839			77,068,955,758	170,771,594,660
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		270,944,859,542			330,659,390,232	496,965,230,080
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비		574,820,308,635			451,451,195,145	434,360,006,978
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		7,472,677,266,880			7,208,953,031,303	6,565,498,442,410
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	dart_BasicEarningsLossPerSharePreferredStock	         우선주 기본 및 희석주당이익(손실)		5,463			2,937	5,770
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본 및 희석주당이익(손실)		5,413			4,679	10,130
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융원가		66,421,479,241			63,360,573,966	57,222,959,983
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		202,547,694,948			145,709,082,639	141,704,837,887
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		845,765,168,177			782,110,585,377	931,325,237,058
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		124,724,550,530			77,583,969,048	163,915,602,982
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		229,223,745,163			202,169,475,522	431,557,865,893
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분		0			14,307,738,897	18,392,280,389
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업소유주지분		229,223,745,163			187,861,736,625	413,165,585,504
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		353,948,295,693			279,753,444,570	595,473,468,875
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_Revenue	      매출액		8,318,442,435,057			7,991,063,616,680	7,496,823,679,468
손익계산서, 기능별 분류 - 연결	[375500]	DL이앤씨	유가증권시장상장법인	412	토목 건설업	12	2024-12-31	사업보고서	KRW	ifrs-full_ShareOfProfitLossOfAssociatesAndJointVenturesAccountedForUsingEquityMethod	      지분법 적용대상인 관계기업과 공동기업의 당기순손익에 대한 지분		-8,047,693,432			24,237,829,020	10,763,023,477
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		202,106,312,732			-39,601,820,873	191,001,286,920
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	dart_OtherGains	      기타수익		83,762,601,941			241,942,068,536	160,164,936,601
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	dart_OtherLosses	      기타비용		98,234,683,347			233,938,198,853	109,209,408,159
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비및관리비		779,433,857,278			721,155,467,807	663,168,621,597
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	entity01524817_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociatesOfIncomeStatementAbstract	      지분법평가손익		-128,852,451,208			-127,482,261,201	-156,592,145,757
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		3,942,476,618,594			3,662,176,804,268	3,705,177,818,472
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         보통주 기본 및 희석 주당이익(손실)		-32,957			-36,748	-12,540
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융비용		480,508,179,805			334,200,248,673	233,876,694,188
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		67,058,004,296			90,205,026,270	52,932,593,664
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		981,540,170,010			681,553,646,934	854,169,908,517
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		-49,985,794,870			-73,719,493,099	6,775,928,322
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		-304,682,600,521			-329,355,941,695	-102,355,359,241
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분		-3,754,766,414			6,187,959,605	12,147,578,721
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업 소유주지분		-300,927,834,107			-335,543,901,300	-114,502,937,962
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		-354,668,395,391			-403,075,434,794	-95,579,430,919
손익계산서, 기능별 분류 - 연결	[null]	DL케미칼	기타법인	202	합성고무 및 플라스틱 물질 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_Revenue	      매출액		4,924,016,788,604			4,343,730,451,202	4,559,347,726,989
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		15,340,514,051			24,261,853,627	35,774,891,408
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		10,138,083,302			3,403,749,435	6,362,706,416
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	dart_OtherLosses	      기타비용		5,415,581,907			4,102,193,634	5,352,078,636
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	dart_TotalSellingGeneralAdministrativeExpenses	      판매비와관리비		29,391,312,151			23,894,937,510	26,930,711,974
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	entity00110608_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethodOfIncomeStatementAbstract	      지분법이익		302,772,163			0	0
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_CostOfSales	      매출원가		255,077,297,150			242,938,295,481	304,751,232,849
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_BasicEarningsLossPerShare	         기본주당이익(손실)		907			1,093	1,502
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceCosts	      금융비용		11,532,865,477			14,343,055,946	14,624,811,754
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_FinanceIncome	      금융수익		10,432,680,349			13,134,308,219	10,168,263,741
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_GrossProfit	      매출총이익		44,731,826,202			48,156,791,137	62,705,603,382
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_IncomeTaxExpenseContinuingOperations	      법인세비용(수익)		4,752,796,273			4,804,700,545	7,781,198,862
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLoss	      당기순이익(손실)		14,512,806,208			17,549,961,156	24,547,772,313
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToNoncontrollingInterests	         비지배지분에 귀속되는 당기순이익(손실)		-31,520,033			64,292,194	522,231,915
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossAttributableToOwnersOfParent	         지배기업의 소유주에게 귀속되는 당기순이익(손실)		14,544,326,241			17,485,668,962	24,025,540,398
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_ProfitLossBeforeTax	      법인세비용차감전순이익(손실)		19,265,602,481			22,354,661,701	32,328,971,175
손익계산서, 기능별 분류 - 연결	[155660]	DSR	유가증권시장상장법인	242	1차 비철금속 제조업	12	2024-12-31	사업보고서	KRW	ifrs-full_Revenue	      수익(매출액)		299,809,123,352			291,095,086,618	367,456,836,231
손익계산서, 기능별 분류 - 연결	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OperatingIncomeLoss	      영업이익(손실)		3,060,163,000,000			3,721,802,000,000	5,120,181,000,000
손익계산서, 기능별 분류 - 연결	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OtherGains	      기타이익		438,829,000,000			333,472,000,000	360,526,000,000
손익계산서, 기능별 분류 - 연결	[078930]	GS	유가증권시장상장법인	649	기타 금융업	12	2024-12-31	사업보고서	KRW	dart_OtherLosses	      기타손실		441,906,000,000			278,981,000,000	401,086,000,000
